Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
AAMI,AAMI,Guang Yang,,2020-04-15,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,AAMI,Suren Rana,2020-04-15,2024-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,AAMI,Kelly Young,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882424000041/bsig-20240930.htm
AAOI,AAOI,Juen-Sheng Kang,1997-01-01,2013-12-30,8-K,https://www.sec.gov/Archives/edgar/data/1158114/000101968714000034/appopto_8k.htm
AAOI,AAOI,Chih-Hsiang Lin,2013-12-30,Present,8-K,https://www.sec.gov/Archives/edgar/data/1158114/000101968714000034/appopto_8k.htm
AAP,AAP,Lawrence P. Castellani,,2005-05-18,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,AAP,Michael N. Coppola,2005-05-18,2007-05-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,AAP,John C. Brouillard,2007-05-07,2008-01-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000078/aap8k.htm
AAP,AAP,Darren R. Jackson,2008-01-07,2014-01-02,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844908000018/aap8k.htm
AAP,AAP,O. Temple Sloan III,2014-01-02,2016-01-03,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844914000014/a8k_122014.htm
AAP,AAP,George E. Sherman,2016-01-03,2016-04-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000187/a8k_11x11x2015.htm
AAP,AAP,Thomas Greco,2016-04-11,2023-09-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844916000365/a8k_4x4x2016.htm
AAP,AAP,Shane M. O'Kelly,2023-09-11,Present,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312523218433/d508220d8k.htm
AAT,AAT,John W. Chamberlain,,2015-09-14,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,AAT,Ernest W. Rady,2015-09-14,2025-01-01,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,AAT,Adam Wyll,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000150021724000070/aat-20241204.htm
ABAT,ABAT,Craig Alford,2016-05-31,2017-02-15,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878216002947/f8k060616_8k.htm
ABAT,ABAT,Michael Mason,2017-02-15,2017-08-07,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878217000246/f8k022117_8k.htm
ABAT,ABAT,Douglas Cole,2017-08-07,2021-08-27,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000107878217001083/f8k081117_8k.htm
ABAT,ABAT,Ryan Melsert,2021-08-27,Present,8-K,https://www.sec.gov/Archives/edgar/data/1576873/000149315221021498/form8-k.htm
ABCB,ABCB,"Eugene M. Vereen, Jr.",1981-01-01,2018-01-01,8-K,https://www.sec.gov/Archives/edgar/data/351569/000035156908000010/form8k.htm
ABCB,ABCB,Dennis J. Zember Jr.,2018-01-01,2019-06-27,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420419033242/tv524542_8k.htm
ABCB,ABCB,"H. Palmer Proctor, Jr.",2019-06-28,Present,8-K,https://www.sec.gov/Archives/edgar/data/351569/000114420419033242/tv524542_8k.htm
ABEO,ABEO,Kerry Gray,,2005-05-10,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830605000011/r8k-093.txt
ABEO,ABEO,Rosemary Mazanet,2006-05-19,2007-01-04,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830606000012/r8k-107.txt
ABEO,ABEO,Stephen R. Seiler,2007-01-04,2007-12-19,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830607000065/r8k-237.htm
ABEO,ABEO,Jeffrey B. Davis,2007-12-26,2014-09-19,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830614000027/r8k-530.htm
ABEO,ABEO,Scott Schorer,2014-09-19,2015-05-06,8-K,https://www.sec.gov/Archives/edgar/data/318306/000031830615000013/r8k-560.htm
ABEO,ABEO,Tim Miller,2015-05-06,2018-03-29,8-K,https://www.sec.gov/Archives/edgar/data/318306/000114420418018693/tv490170_8k.htm
ABEO,ABEO,Frank Carsten Thiel,2018-03-29,2018-11-26,8-K,https://www.sec.gov/Archives/edgar/data/318306/000114420418062416/tv507897_8k.htm
ABEO,ABEO,Jo o Siffert,2018-11-26,2020-04-15,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315220018550/form8-k.htm
ABEO,ABEO,Brian Pereira,2020-04-15,2021-03-19,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315221006620/form8-k.htm
ABEO,ABEO,Michael Amoroso,2021-03-19,2021-10-14,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315221023269/form8-k.htm
ABEO,ABEO,Vishwas Seshadri,2021-10-15,Present,8-K,https://www.sec.gov/Archives/edgar/data/318306/000149315221023269/form8-k.htm
ABG,ABG,Kenneth B. Gilman,,2005-01-01,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000110465907011465/a07-4578_28k.htm
ABG,ABG,Charles B. Tomm,2005-01-01,2007-05-04,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000114498005000096/form8k.txt
ABG,ABG,Charles R. Oglesby,2007-05-04,2011-02-09,8-K,https://www.sec.gov/Archives/edgar/data/1144980/000110465907011465/a07-4578_28k.htm
